YR,ADZN_EMD_CD,자치구명,전체인구,sgg_cd,전체인구_표시,전체인구_만단위
2021,11710,송파구,340992,11710,"340,992명",약 34.1만 명
2021,11500,강서구,298023,11500,"298,023명",약 29.8만 명
2021,11680,강남구,277995,11680,"277,995명",약 27.8만 명
2021,11350,노원구,264903,11350,"264,903명",약 26.5만 명
2021,11380,은평구,246849,11380,"246,849명",약 24.7만 명
2021,11620,관악구,241708,11620,"241,708명",약 24.2만 명
2021,11740,강동구,235662,11740,"235,662명",약 23.6만 명
2021,11470,양천구,228088,11470,"228,088명",약 22.8만 명
2021,11290,성북구,222950,11290,"222,950명",약 22.3만 명
2021,11650,서초구,215245,11650,"215,245명",약 21.5만 명
2021,11530,구로구,201217,11530,"201,217명",약 20.1만 명
2021,11590,동작구,199057,11590,"199,057명",약 19.9만 명
2021,11260,중랑구,196238,11260,"196,238명",약 19.6만 명
2021,11440,마포구,195401,11440,"195,401명",약 19.5만 명
2021,11560,영등포구,190911,11560,"190,911명",약 19.1만 명
2021,11215,광진구,175938,11215,"175,938명",약 17.6만 명
2021,11230,동대문구,170754,11230,"170,754명",약 17.1만 명
2021,11320,도봉구,162879,11320,"162,879명",약 16.3만 명
2021,11410,서대문구,159125,11410,"159,125명",약 15.9만 명
2021,11305,강북구,153477,11305,"153,477명",약 15.3만 명
2021,11200,성동구,146610,11200,"146,610명",약 14.7만 명
2021,11170,용산구,115743,11170,"115,743명",약 11.6만 명
2021,11545,금천구,114284,11545,"114,284명",약 11.4만 명
2021,11110,종로구,74500,11110,"74,500명",약 7.5만 명
2021,11140,중구,62869,11140,"62,869명",약 6.3만 명
